id,entityType,x,y,z
4723,RoutingNode,78.1801666561488,0,-711.258688117737
4724,RoutingNode,78.1801666561488,0,-711.258688117737
4725,RoutingNode,79.6084432039744,0,-719.728169573347
4726,RoutingNode,85.0575246050074,0,-717.784818046718
4727,RoutingNode,56.5498515010616,0,-705.185155018951
4728,RoutingNode,56.5498515010616,0,-705.185155018951
4800,RoutingNode,-691.607941607793,0,704.982649622193
4801,RoutingNode,-333.925878187429,0,762.139651847634
4803,RoutingNode,-293.752179018116,0,-934.725603095079
4804,RoutingNode,-60.7066980527603,0,-938.456114670906
4805,RoutingNode,-60.7066980527603,0,-938.456114670906
4806,RoutingNode,-56.9325619919106,0,-945.84232375715
4807,RoutingNode,-52.8524439804544,0,-936.662759951706
4808,RoutingNode,-284.582928875985,0,-935.422798970891
4851,RoutingNode,-430.497700025548,0,351.47057524868
4867,RoutingNode,-149.633750909945,0,852.47664926104
4868,RoutingNode,120.575041676752,0,793.429409861761
4869,RoutingNode,126.21971650949,0,801.71520529195
4870,RoutingNode,118.21017551053,0,801.527951117362
4871,RoutingNode,118.21017551053,0,801.527951117362
4993,RoutingNode,-562.371651753532,0,-418.246181551234
4994,RoutingNode,-523.539846338765,0,-738.603450592813
5007,RoutingNode,254.804026613973,0,356.249985208259
5008,RoutingNode,247.716680759891,0,442.115922675917
5102,RoutingNode,303.578547838399,0,184.810869494376
5103,RoutingNode,465.951234963179,0,69.7139352284354
5104,RoutingNode,469.42004992883,0,62.282007188932
5190,RoutingNode,99.5478064450472,0,912.34197259225
5191,RoutingNode,97.3862451925971,0,898.972835346074
5192,RoutingNode,82.6525428893813,0,980.114770202212
5269,RoutingNode,51.9372593137531,0,198.817202796221
5270,RoutingNode,51.9372593137531,0,198.817202796221
5271,RoutingNode,50.9744283043952,0,187.960880658622
5272,RoutingNode,50.9744283043952,0,187.960880658622
5273,RoutingNode,38.4639862150175,0,188.367471453499
5274,RoutingNode,38.4639862150175,0,188.367471453499
5275,RoutingNode,49.1704863376305,0,182.977348663519
5276,RoutingNode,49.1704863376305,0,182.977348663519
5277,RoutingNode,49.5834352736073,0,194.402982102409
5278,RoutingNode,49.5834352736073,0,194.402982102409
5534,RoutingNode,380.449310452295,0,525.184342994513
5535,RoutingNode,378.82348546856,0,490.275330981394
5536,RoutingNode,381.051156742903,0,458.346052005932
5645,RoutingNode,-238.003118108028,0,129.297252530059
5646,RoutingNode,-312.434903170055,0,290.143126342173
5676,RoutingNode,-14.3595292681652,0,670.034565575838
5677,RoutingNode,297.601805982723,0,692.604920551885
5844,RoutingNode,435.150980035696,0,636.537439854408
5845,RoutingNode,-145.92653180245,0,256.841177305729
5846,RoutingNode,-145.92653180245,0,256.841177305729
5847,RoutingNode,-145.92653180245,0,256.841177305729
5848,RoutingNode,-147.989082351219,0,246.528903428286
5849,RoutingNode,-153.592981731736,0,254.576820109996
5850,RoutingNode,-140.474941570832,0,248.339631639763
5851,RoutingNode,421.268034430332,0,633.431596944111
5852,RoutingNode,98.4583703751009,0,-705.579248065096
5853,RoutingNode,64.6062721393513,0,-704.36251278316
5854,RoutingNode,56.6801329251879,0,-696.457412839295
5855,RoutingNode,90.50285580544,0,-704.636145360525
5856,RoutingNode,90.50285580544,0,-704.636145360525
5857,RoutingNode,90.50285580544,0,-704.636145360525
5864,RoutingNode,889.426042154796,0,-312.222951895175
5865,RoutingNode,889.426042154796,0,-312.222951895175
5866,RoutingNode,889.426042154796,0,-312.222951895175
5867,RoutingNode,881.718929053744,0,-316.36552156783
5868,RoutingNode,878.216662932832,0,-309.112395935189
5869,RoutingNode,885.82674681313,0,-304.472370254848
5870,RoutingNode,213.226104675067,0,-362.68653902021
5871,RoutingNode,494.630251155517,0,-340.970722416693
5933,RoutingNode,-867.258909621851,0,47.662957623854
5934,RoutingNode,-860.506564855398,0,55.6855020148476
5935,RoutingNode,-868.672152690398,0,55.4078479876322
5936,RoutingNode,-868.672152690398,0,55.4078479876322
5976,RoutingNode,9.07705153685723,0,-99.6231164341619
5977,RoutingNode,-83.4935991102802,0,-616.784345550864
5978,RoutingNode,-486.400360792697,0,-191.785854748203
5979,RoutingNode,-595.335307881258,0,-279.502482262478
5980,RoutingNode,-415.620434762335,0,-884.812341014377
5981,RoutingNode,-527.694072896249,0,-853.20045508054
5982,RoutingNode,-535.615634828646,0,-846.889453336599
5983,RoutingNode,-423.330186701312,0,-882.559337169089
